//http://www.jasc.or.jp/lisence/p-lap3/index.html

1-1  32.487
  2  35.261
  3  48.804
1  1'56.552
2-1  27.893
  2  31.087
  3  11.789
2  1'10.769
3-1  25.420
  2  30.879
  3  11.683
3  1'07.982
4-1  25.500
  2  30.719
  3  11.731
4  1'07.950
5-1  25.254
  2  30.849
  3  11.732
5  1'07.835
6-1  25.282
  2  30.786
  3  11.639
6  1'07.707
7-1  25.254
  2  30.920
  3  11.633
7  1'07.807
8-1  25.332
  2  30.846
  3  11.811
8  1'07.989
9-1  25.255
  2  30.616
  3  11.543
9  1'07.414
10-1 25.282
   2 30.679
   3 11.906
10 1'07.867
11-1 25.290
   2 30.608
   3 11.659
11 1'07.557
12-1 25.218
   2 30.604
   3 11.696
12 1'07.518
13-1 25.085
   2 30.916
   3 11.625
13 1'07.626
14-1 25.121
   2 30.397
   3 11.508
14 1'07.026
15-1 25.433
   2 30.635
   3 11.541
15 1'07.609
16-1 25.080
   2 30.588
   3 11.490
16 1'07.158
17-1 31.331
   2 41.782
   3 17.544
17 1'30:657


 
